SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
75124,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57411,,10-4030-012447,12447,,6,22343,22343,1,10505,837409Vi54119,9788,2331.95,186.556,58.2988,2576.8048,,88E4D024-0568-48D0-AE27-B5B88442ED17,00:00.0
75125,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57412,,10-4030-013367,13367,,1,18424,18424,1,13592,737429Vi70451,,2334.97,186.7976,58.3743,2580.1419,,B9B7C5D5-7DF1-403A-AD25-6CECA8325EAE,00:00.0
75126,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57413,,10-4030-014928,14928,,10,20157,20157,1,15574,637902Vi80465,9791,751.34,60.1072,18.7835,830.2307,,359719E6-9F75-4047-891E-3C09E5988531,00:00.0
75127,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57414,,10-4030-011432,11432,,7,16525,16525,1,17755,938039Vi92104,,1283.82,102.7056,32.0955,1418.6211,,B88A7C8F-7E08-4737-B070-6EE6964572D9,00:00.0
75128,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57415,,10-4030-014134,14134,,9,28735,28735,1,9168,638214Vi47342,9786,1785.97,142.8776,44.6493,1973.4969,,B9392CE4-0AC3-46E9-AAB1-EC4ABE1BDF23,00:00.0
75129,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57416,,10-4030-028308,28308,,9,23799,23799,1,10710,938584Vi55287,9786,588.96,47.1168,14.724,650.8008,,B9D50C70-EBD5-4831-8D41-D521C560C12D,00:00.0
75130,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57417,,10-4030-022170,22170,,9,28853,28853,1,6439,1138593Vi33436,9786,563.77,45.1016,14.0943,622.9659,,A3CA4B80-95F8-457E-8D85-553FD3527159,00:00.0
75131,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57418,,10-4030-011000,11000,,9,22601,22601,1,11981,738977Vi61907,9786,2507.03,200.5624,62.6758,2770.2682,,62393E48-A72A-4C3C-A341-1B093BAA068D,00:00.0
75132,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57419,,10-4030-015833,15833,,9,19429,19429,1,17158,1039547Vi89060,9786,539.99,43.1992,13.4998,596.689,,428A03AB-D7ED-439F-A4B6-BD2C1C8D5E93,00:00.0
75133,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57420,,10-4030-012689,12689,,9,20976,20976,1,6282,239659Vi32633,9786,2331.95,186.556,58.2988,2576.8048,,DE85E8E7-39AC-45C9-82A1-01C3A871BCBA,00:00.0
75134,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57421,,10-4030-025064,25064,,4,26710,26710,1,18151,340851Vi94121,,2447.05,195.764,61.1763,2703.9903,,989DD70F-68E9-4F32-9613-06A434113B16,00:00.0
75135,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57422,,10-4030-025075,25075,,4,21459,21459,1,18062,740853Vi93727,,2469.05,197.524,61.7263,2728.3003,,537AE082-B782-4748-817E-D23511B8521B,00:00.0
75136,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57423,,10-4030-023066,23066,,4,15318,15318,1,14478,741356Vi75095,,617.47,49.3976,15.4368,682.3044,,8AFC3C12-A0C6-4596-B3DD-40548796A476,00:00.0
75137,8,2014/07/01 0:00,2013/12/13 0:00,2013/10/10 0:00,5,1,SO57424,,10-4030-020097,20097,,4,16249,16249,1,1211,541410Vi6140,,1120.49,89.6392,28.0123,1238.1415,,E09D21DB-5231-49B4-8012-F4493C36D712,00:00.0
